Top matches for word : dog
-----------------------------------------
    Word            : Similarity Score    
-----------------------------------------
 1. cat             : 1.0000000000000002  
 2. dogs            : 0.9217629882308827  
 3. horse           : 0.8532813448229782  
 4. rabbit          : 0.7997520092907575  
 5. puppy           : 0.7755782297207762  
 6. pet             : 0.7738971699620603  
 7. snake           : 0.7716145845484991  
 8. pig             : 0.7588605679784995  
 9. monkey          : 0.7542622478724562  
10. elephant        : 0.7478684915796214  
11. baby            : 0.7417691174872163  
12. boy             : 0.7404001426301067  
13. bite            : 0.7402367825896362  
14. animal          : 0.7369659487676298  
15. rat             : 0.729385161281661   
16. mad             : 0.7261495624138773  
17. man             : 0.7233889621045632  
18. pack            : 0.7163991697860296  
19. crazy           : 0.7151214579358497  
20. monster         : 0.7147777474722646  
